NODE_53_length_17133_cov_26.793536	17133	282	0
NODE_470_length_5734_cov_22.549921	5734	80	0
NODE_1825_length_2621_cov_23.980904	2621	2	0
NODE_318_length_7213_cov_20.946354	7213	114	0
NODE_87_length_13651_cov_20.941600	13651	162	0
NODE_126_length_11517_cov_31.124324	11517	176	0
NODE_242_length_8196_cov_31.492323	8196	128	0
NODE_400_length_6323_cov_18.731015	6323	0	0
NODE_1209_length_3308_cov_21.520135	3308	47	0
NODE_328_length_7150_cov_20.865398	7150	103	0
NODE_2543_length_2196_cov_846.856609	2196	15	0
NODE_42_length_19248_cov_24.404731	19248	263	0
NODE_689_length_4595_cov_25.634141	4595	0	0
NODE_101_length_12842_cov_23.983655	12842	174	0
NODE_22_length_22937_cov_28.106328	22937	370	0
NODE_1469_length_2973_cov_18.607951	2973	1	0
NODE_869_length_3992_cov_18.857760	3992	1	0
NODE_1034_length_3611_cov_93.436445	3611	12	0
NODE_82_length_14272_cov_26.215587	14272	236	0
NODE_24_length_22288_cov_27.237845	22288	306	0
NODE_291_length_7445_cov_24.443302	7445	109	0
NODE_62_length_16042_cov_34.710390	16042	0	0
NODE_858_length_4018_cov_41.265203	4018	4	0
NODE_71_length_15091_cov_24.632016	15091	229	0
NODE_1212_length_3295_cov_17.340123	3295	0	0
NODE_14_length_27893_cov_32.854264	27893	369	0
NODE_1305_length_3166_cov_17.832851	3166	48	0
NODE_2339_length_2290_cov_32.111409	2290	0	0
NODE_477_length_5667_cov_34.452067	5667	76	0
NODE_1997_length_2480_cov_20.190928	2480	19	0
NODE_234_length_8333_cov_24.482846	8333	102	0
NODE_254_length_7976_cov_22.222068	7976	107	0
NODE_102_length_12688_cov_25.182459	12688	179	0
NODE_56_length_16935_cov_28.517299	16935	246	0
NODE_1736_length_2714_cov_76.034599	2714	63	0
NODE_422_length_6099_cov_21.441430	6099	77	0
NODE_13_length_28505_cov_24.961476	28505	390	0
NODE_1405_length_3047_cov_20.046457	3047	54	0
NODE_2042_length_2451_cov_30.600584	2451	34	0
NODE_313_length_7266_cov_24.626404	7266	108	0
NODE_129_length_11388_cov_22.189976	11388	212	0
